panel_num,time(hh:mm:ss),date(dd//mm/yy),voltage(mV),current(mA),power(mW),theta0,theta1
1,16:53:43,23/09/24,11364,233,2650,,
2,16:53:43,23/09/24,1148,23,26,0.00,30.00
3,16:53:43,23/09/24,812,17,14,,
1,17:03:43,23/09/24,9776,200,1962,,
2,17:03:43,23/09/24,952,19,20,0.00,30.00
3,17:03:43,23/09/24,692,14,10,,
1,17:13:45,23/09/24,1040,21,22,,
2,17:13:45,23/09/24,744,15,10,-24.94,56.67
3,17:13:45,23/09/24,568,12,6,,
1,17:23:45,23/09/24,716,15,10,,
2,17:23:45,23/09/24,548,11,6,-21.25,56.98
3,17:23:45,23/09/24,400,8,4,,
1,17:33:52,23/09/24,536,11,6,,
2,17:33:52,23/09/24,432,9,4,-12.54,57.18
3,17:33:52,23/09/24,272,5,0,,
1,17:43:50,23/09/24,356,7,4,,
2,17:43:50,23/09/24,292,6,4,22.93,57.27
3,17:43:50,23/09/24,156,3,0,,
1,05:44:15,24/09/24,36,1,0,,
2,05:44:15,24/09/24,24,1,0,80.28,-57.26
3,05:44:15,24/09/24,60,1,0,,
1,05:53:51,24/09/24,320,7,4,,
2,05:53:51,24/09/24,288,7,0,10.85,-57.24
3,05:53:51,24/09/24,260,5,0,,
1,06:03:44,24/09/24,640,13,10,,
2,06:03:44,24/09/24,548,9,6,0.00,-60.00
3,06:03:44,24/09/24,384,8,4,,
1,06:13:43,24/09/24,1012,21,22,,
2,06:13:43,24/09/24,864,19,14,0.00,-30.00
3,06:13:43,24/09/24,828,17,14,,
1,06:23:43,24/09/24,1540,31,50,,
2,06:23:43,24/09/24,1192,27,22,0.00,-30.00
3,06:23:43,24/09/24,1076,22,22,,
1,06:33:43,24/09/24,1868,38,72,,
2,06:33:43,24/09/24,1504,26,40,0.00,-60.00
3,06:33:43,24/09/24,1280,26,36,,
1,06:43:43,24/09/24,2036,41,86,,
2,06:43:43,24/09/24,1488,35,40,0.00,-30.00
3,06:43:43,24/09/24,1552,32,50,,
1,06:53:43,24/09/24,2120,43,92,,
2,06:53:43,24/09/24,2000,35,72,0.00,-30.00
3,06:53:43,24/09/24,1728,36,62,,
1,07:03:43,24/09/24,2616,53,140,,
2,07:03:43,24/09/24,2492,43,108,0.00,-30.00
3,07:03:43,24/09/24,2048,43,88,,
1,07:13:43,24/09/24,2740,56,154,,
2,07:13:43,24/09/24,2648,44,118,0.00,-30.00
3,07:13:43,24/09/24,1920,40,78,,
1,07:23:43,24/09/24,3252,66,216,,
2,07:23:43,24/09/24,2704,65,122,0.00,-30.00
3,07:23:43,24/09/24,2468,51,128,,
1,07:33:43,24/09/24,4852,99,482,,
2,07:33:43,24/09/24,8964,125,1124,0.00,-60.00
3,07:33:43,24/09/24,3584,75,268,,
1,07:43:43,24/09/24,4564,93,426,,
2,07:43:43,24/09/24,3568,86,416,0.00,-30.00
3,07:43:43,24/09/24,3268,68,222,,
1,07:53:46,24/09/24,9368,191,1792,,
2,07:53:46,24/09/24,10380,158,1644,-30.63,-48.71
3,07:53:46,24/09/24,3964,83,330,,
1,08:03:43,24/09/24,7620,155,1190,,
2,08:03:43,24/09/24,7196,124,894,-30.84,-47.35
3,08:03:43,24/09/24,4068,85,348,,
1,08:13:43,24/09/24,6892,141,974,,
2,08:13:43,24/09/24,6860,123,848,-31.02,-45.90
3,08:13:43,24/09/24,4484,94,422,,
1,08:23:43,24/09/24,7108,145,1032,,
2,08:23:43,24/09/24,7092,128,914,-30.00,-30.00
3,08:23:43,24/09/24,4576,96,440,,
1,08:33:43,24/09/24,11876,242,2884,,
2,08:33:43,24/09/24,8896,209,1196,-30.00,-30.00
3,08:33:43,24/09/24,5488,115,632,,
1,08:43:43,24/09/24,12508,256,3204,,
2,08:43:43,24/09/24,12188,215,2632,-31.43,-41.04
3,08:43:43,24/09/24,7956,166,1328,,
1,08:53:43,24/09/24,11484,235,2704,,
2,08:53:43,24/09/24,9696,219,1510,-30.00,-30.00
3,08:53:43,24/09/24,9540,200,1910,,
1,09:03:43,24/09/24,14724,301,4444,,
2,09:03:43,24/09/24,14376,257,3706,-31.63,-37.40
3,09:03:43,24/09/24,13228,277,3674,,
1,09:13:43,24/09/24,10772,220,2378,,
2,09:13:43,24/09/24,10076,175,1766,-31.71,-35.47
3,09:13:43,24/09/24,8896,186,1662,,
1,09:23:43,24/09/24,17804,365,6504,,
2,09:23:43,24/09/24,15984,346,4250,-31.78,-33.48
3,09:23:43,24/09/24,17656,370,6544,,
1,09:33:43,24/09/24,16816,345,5810,,
2,09:33:43,24/09/24,16696,311,5198,-30.00,-30.00
3,09:33:43,24/09/24,17208,361,6212,,
1,09:43:43,24/09/24,17372,357,6204,,
2,09:43:43,24/09/24,16184,346,4424,-30.00,-30.00
3,09:43:43,24/09/24,17628,370,6520,,
1,09:53:43,24/09/24,17056,350,5986,,
2,09:53:43,24/09/24,17084,329,5624,-30.00,-30.00
3,09:53:43,24/09/24,17460,366,6400,,
1,10:03:43,24/09/24,12852,264,3398,,
2,10:03:43,24/09/24,12992,271,3008,-31.99,-24.90
3,10:03:43,24/09/24,13504,283,3828,,
1,10:13:43,24/09/24,11492,236,2716,,
2,10:13:43,24/09/24,12036,233,2808,-32.02,-22.62
3,10:13:43,24/09/24,11600,243,2822,,
1,10:23:43,24/09/24,15916,327,5206,,
2,10:23:43,24/09/24,15796,312,4942,-30.00,0.00
3,10:23:43,24/09/24,17044,357,6098,,
1,10:33:44,24/09/24,13024,267,3486,,
2,10:33:44,24/09/24,13628,273,3540,-32.08,-17.95
3,10:33:44,24/09/24,13752,288,3968,,
1,10:43:43,24/09/24,11132,228,2546,,
2,10:43:43,24/09/24,11360,221,2514,-32.11,-15.56
3,10:43:43,24/09/24,11052,232,2562,,
1,10:53:43,24/09/24,11940,245,2930,,
2,10:53:43,24/09/24,12248,238,2916,-30.00,0.00
3,10:53:43,24/09/24,12048,252,3040,,
1,11:03:44,24/09/24,16216,333,5406,,
2,11:03:44,24/09/24,16156,327,4970,-32.14,-10.70
3,11:03:44,24/09/24,17416,365,6364,,
1,11:13:43,24/09/24,15248,313,4784,,
2,11:13:43,24/09/24,15240,308,4404,-32.16,-8.24
3,11:13:43,24/09/24,16756,351,5892,,
1,11:23:43,24/09/24,13688,281,3854,,
2,11:23:43,24/09/24,13968,281,3844,-30.00,0.00
3,11:23:43,24/09/24,14616,306,4480,,
1,11:33:43,24/09/24,17028,350,5970,,
