panel_num,time(hh:mm:ss),date(dd//mm/yy),voltage(mV),current(mA),power(mW),theta0,theta1
1,06:23:47,01/10/24,1700,35,58,,
2,06:23:47,01/10/24,920,21,16,-9.04,-56.28
3,06:23:47,01/10/24,848,17,16,,
1,06:33:46,01/10/24,1936,39,78,,
2,06:33:46,01/10/24,1128,27,22,-13.58,-55.80
3,06:33:46,01/10/24,996,21,20,,
1,06:43:40,01/10/24,2072,42,88,,
2,06:43:40,01/10/24,2056,25,52,30.00,-60.00
3,06:43:40,01/10/24,1124,23,26,,
1,06:53:46,01/10/24,2280,46,104,,
2,06:53:46,01/10/24,3608,50,184,0.00,0.00
3,06:53:46,01/10/24,1228,25,32,,
1,07:03:43,01/10/24,3184,64,206,,
2,07:03:43,01/10/24,3332,136,96,0.00,-30.00
3,07:03:43,01/10/24,1336,28,36,,
1,07:13:43,01/10/24,9980,202,2026,,
2,07:13:43,01/10/24,8112,86,704,0.00,-60.00
3,07:13:43,01/10/24,1432,30,42,,
1,07:23:46,01/10/24,15740,320,5044,,
2,07:23:46,01/10/24,7604,220,564,-30.00,-60.00
3,07:23:46,01/10/24,1480,31,46,,
1,07:33:44,01/10/24,16272,331,5400,,
2,07:33:44,01/10/24,7024,216,442,-30.00,-60.00
3,07:33:44,01/10/24,1544,32,50,,
1,07:43:44,01/10/24,16548,337,5588,,
2,07:43:44,01/10/24,10700,132,1422,-30.00,-60.00
3,07:43:44,01/10/24,1612,34,56,,
1,07:53:44,01/10/24,16652,340,5662,,
2,07:53:44,01/10/24,13588,206,2798,-30.00,-60.00
3,07:53:44,01/10/24,1696,35,58,,
1,08:03:44,01/10/24,16832,344,5790,,
2,08:03:44,01/10/24,8860,250,764,-30.00,-60.00
3,08:03:44,01/10/24,1760,37,66,,
1,08:13:44,01/10/24,17212,352,6058,,
2,08:13:44,01/10/24,13708,203,2786,-30.00,-60.00
3,08:13:44,01/10/24,1836,38,72,,
1,08:23:44,01/10/24,17148,350,6016,,
2,08:23:44,01/10/24,13972,210,2946,-30.00,-60.00
3,08:23:44,01/10/24,1920,40,78,,
1,08:33:44,01/10/24,17400,356,6196,,
2,08:33:44,01/10/24,12268,301,1930,-30.00,-30.00
3,08:33:44,01/10/24,2220,46,104,,
1,08:43:44,01/10/24,17328,355,6150,,
2,08:43:44,01/10/24,12404,303,1956,-30.00,-30.00
3,08:43:44,01/10/24,5336,112,600,,
1,08:53:44,01/10/24,17456,357,6246,,
2,08:53:44,01/10/24,15588,262,4096,-30.00,-30.00
3,08:53:44,01/10/24,16128,337,5456,,
1,09:03:44,01/10/24,17308,355,6144,,
2,09:03:44,01/10/24,16316,285,4660,-30.00,-30.00
3,09:03:44,01/10/24,16952,355,6036,,
1,09:13:44,01/10/24,17492,359,6278,,
2,09:13:44,01/10/24,16064,278,4476,-30.00,-30.00
3,09:13:44,01/10/24,17252,362,6248,,
1,09:23:44,01/10/24,17796,365,6494,,
2,09:23:44,01/10/24,16020,344,4374,-30.00,-30.00
3,09:23:44,01/10/24,17616,369,6512,,
1,09:33:44,01/10/24,17784,364,6488,,
2,09:33:44,01/10/24,16048,345,4374,-30.00,-30.00
3,09:33:44,01/10/24,17796,373,6646,,
1,09:43:44,01/10/24,17792,364,6492,,
2,09:43:44,01/10/24,16572,349,4836,-30.00,-30.00
3,09:43:44,01/10/24,17880,375,6712,,
1,09:53:44,01/10/24,17732,363,6452,,
2,09:53:44,01/10/24,16988,350,5270,-30.00,-30.00
3,09:53:44,01/10/24,17884,375,6712,,
1,10:03:44,01/10/24,17760,364,6476,,
2,10:03:44,01/10/24,17628,339,5984,-30.00,-30.00
3,10:03:44,01/10/24,17972,377,6780,,
1,10:13:44,01/10/24,17688,363,6420,,
2,10:13:44,01/10/24,16868,351,5086,-30.00,-30.00
3,10:13:44,01/10/24,17984,377,6786,,
1,10:23:44,01/10/24,17892,367,6570,,
2,10:23:44,01/10/24,16812,352,4984,-30.00,-30.00
3,10:23:44,01/10/24,18144,380,6910,,
1,10:33:44,01/10/24,17996,369,6648,,
2,10:33:44,01/10/24,17888,356,6376,-30.00,0.00
3,10:33:44,01/10/24,18348,385,7064,,
1,10:43:44,01/10/24,18092,371,6720,,
2,10:43:44,01/10/24,18004,353,6364,-30.00,0.00
3,10:43:44,01/10/24,18284,383,7016,,
1,10:53:44,01/10/24,17732,364,6456,,
2,10:53:44,01/10/24,17836,350,6246,-29.26,-12.54
3,10:53:44,01/10/24,18068,379,6848,,
1,11:03:44,01/10/24,17472,358,6258,,
2,11:03:44,01/10/24,17488,348,6094,-29.30,-10.10
3,11:03:44,01/10/24,17864,375,6694,,
1,11:13:41,01/10/24,8096,167,1340,,
2,11:13:41,01/10/24,8040,159,1282,0.00,0.00
3,11:13:41,01/10/24,8116,171,1374,,
1,11:23:46,01/10/24,7080,146,1036,,
2,11:23:46,01/10/24,6628,131,852,-29.36,-5.16
3,11:23:46,01/10/24,6828,143,980,,
1,11:33:44,01/10/24,11116,227,2540,,
2,11:33:44,01/10/24,10744,214,2196,-29.37,-2.68
3,11:33:44,01/10/24,11060,231,2572,,
1,11:43:43,01/10/24,18580,380,7078,,
2,11:43:43,01/10/24,18648,372,6946,-30.00,0.00
